match_id,match_won_by,toss_winner,toss_decision,venue,team1,team2
501267,Mumbai Indians,Mumbai Indians,field,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
501268,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
501269,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
501270,Royal Challengers Bangalore,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
501271,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
548306,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians
548307,Delhi Daredevils,Delhi Daredevils,field,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils
548308,Pune Warriors,Mumbai Indians,field,Wankhede Stadium,Pune Warriors,Mumbai Indians
548309,Rajasthan Royals,Kings XI Punjab,field,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab
548310,Royal Challengers Bangalore,Delhi Daredevils,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
548311,Chennai Super Kings,Deccan Chargers,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,Deccan Chargers
548312,Rajasthan Royals,Kolkata Knight Riders,field,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders
548313,Pune Warriors,Pune Warriors,bat,Subrata Roy Sahara Stadium,Pune Warriors,Kings XI Punjab
548314,Mumbai Indians,Deccan Chargers,bat,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,Mumbai Indians
548315,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore
548316,Delhi Daredevils,Delhi Daredevils,field,Feroz Shah Kotla,Chennai Super Kings,Delhi Daredevils
548317,Mumbai Indians,Rajasthan Royals,field,Wankhede Stadium,Mumbai Indians,Rajasthan Royals
