matchId,team1,team2,tossWinner,venue,team1_runs,team2_runs,winner,team1_win
607,Australia,South Africa,Australia,Melbourne Cricket Ground,182,130,Australia,1
608,India,Bangladesh,India,"R.Premadasa Stadium, Khettarama",176,159,India,1
61,New Zealand,South Africa,South Africa,Kingsmead,86,87,South Africa,0
610,South Africa,New Zealand,South Africa,St George's Park,179,146,South Africa,1
611,Zimbabwe,Bangladesh,Bangladesh,Harare Sports Club,152,153,Bangladesh,0
612,New Zealand,Sri Lanka,New Zealand,Bay Oval,182,179,New Zealand,1
613,Australia,West Indies,West Indies,Kennington Oval,169,172,West Indies,0
621,Australia,Pakistan,Pakistan,Harare Sports Club,183,187,Pakistan,0
624,New Zealand,Pakistan,New Zealand,"Punjab Cricket Association IS Bindra Stadium, Mohali",180,158,New Zealand,1
63,India,Australia,India,Kingsmead,188,173,India,1
631,Bangladesh,Australia,Australia,Dubai International Cricket Stadium,73,78,Australia,0
634,Pakistan,West Indies,Pakistan,National Stadium,205,123,Pakistan,1
636,Zimbabwe,Bangladesh,Zimbabwe,Queens Sports Club,168,162,Zimbabwe,1
645,Sri Lanka,Bangladesh,Sri Lanka,Zahur Ahmed Chowdhury Stadium,168,166,Sri Lanka,1
646,Afghanistan,Zimbabwe,Afghanistan,"Shere Bangla National Stadium, Mirpur",197,169,Afghanistan,1
647,Pakistan,England,Pakistan,"Trent Bridge, Nottingham",232,201,Pakistan,1
655,Pakistan,Australia,Pakistan,Edgbaston,162,151,Pakistan,1
656,Pakistan,Sri Lanka,Pakistan,New Wanderers Stadium,189,156,Pakistan,1
659,New Zealand,Sri Lanka,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,81,82,Sri Lanka,0
66,Zimbabwe,Ireland,Ireland,Sylhet Stadium,163,164,Ireland,0
661,Afghanistan,Zimbabwe,Afghanistan,Sheikh Zayed Stadium,193,148,Afghanistan,1
664,Zimbabwe,West Indies,West Indies,"Sir Vivian Richards Stadium, North Sound",130,131,West Indies,0
668,South Africa,Bangladesh,South Africa,Senwes Park,224,141,South Africa,1
671,Afghanistan,Zimbabwe,Afghanistan,Sheikh Zayed Stadium,198,150,Afghanistan,1
673,West Indies,Zimbabwe,West Indies,"Sir Vivian Richards Stadium, North Sound",158,117,West Indies,1
679,West Indies,Pakistan,Pakistan,Dubai International Cricket Stadium,115,116,Pakistan,0
68,Netherlands,Ireland,Ireland,"Zayed Cricket Stadium, Abu Dhabi",106,107,Ireland,0
680,Pakistan,Australia,Pakistan,Edgbaston,167,144,Pakistan,1
681,New Zealand,England,New Zealand,Kingsmead,164,159,New Zealand,1
684,India,New Zealand,India,Bay Oval,163,156,India,1
685,Bangladesh,Netherlands,Bangladesh,Himachal Pradesh Cricket Association Stadium,153,145,Bangladesh,1
686,Pakistan,Zimbabwe,Pakistan,Harare Sports Club,179,160,Pakistan,1
687,New Zealand,West Indies,New Zealand,Seddon Park,191,155,New Zealand,1
689,Zimbabwe,Bangladesh,Bangladesh,"Shere Bangla National Stadium, Mirpur",144,148,Bangladesh,0
690,England,Pakistan,England,"Headingley, Leeds",200,155,England,1
696,South Africa,Pakistan,South Africa,Newlands,192,186,South Africa,1
697,South Africa,India,India,"Punjab Cricket Association IS Bindra Stadium, Mohali",149,151,India,0
698,Sri Lanka,New Zealand,New Zealand,Eden Park,115,116,New Zealand,0
